name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
Dr. Reckeweg Acidum Phosph Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-acidum-phosph-dilution-200-ch-otc335561
Adven Osteodin Tablet,bottle of 210 tablets,₹555,₹473,https://www.1mg.com/otc/adven-osteodin-tablet-otc726278
Bakson's Homeopathy Tense Aid Tablet,bottle of 200 tablets,₹500,₹411,https://www.1mg.com/otc/bakson-s-homeopathy-tense-aid-tablet-otc502933
SBL Petroleum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-petroleum-dilution-30-ch-otc338308
SBL Lemna Minor Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹121,https://www.1mg.com/otc/sbl-lemna-minor-mother-tincture-q-otc338442
Haslab Digesto Syrup,bottle of 450 ml Syrup,₹260,₹230,https://www.1mg.com/otc/haslab-digesto-syrup-otc476544
SBL Asafoetida Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/sbl-asafoetida-dilution-30-ch-otc345938
ADEL 31 Upelva Drop,bottle of 20 ml Drop,₹310,₹274,https://www.1mg.com/otc/adel-31-upelva-drop-otc327729
Allen Hernia Drop,bottle of 30 ml Drop,₹170,₹158,https://www.1mg.com/otc/allen-hernia-drop-otc756379
SBL Silk N Stay Anti Acne Berberis Soap,box of 75 gm Soap,₹55,₹54,https://www.1mg.com/otc/sbl-silk-n-stay-anti-acne-berberis-soap-otc330954
Medisynth Rheuma-Saj Massage Oil,bottle of 120 ml Oil,₹160,₹155,https://www.1mg.com/otc/medisynth-rheuma-saj-massage-oil-otc787927
Dr. Reckeweg Berberis Aquif Mother Tincture Q,bottle of 20 ml Mother Tincture,₹315,₹299,https://www.1mg.com/otc/dr.-reckeweg-berberis-aquif-mother-tincture-q-otc327785
SBL Chimaphila Umbellata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹216,https://www.1mg.com/otc/sbl-chimaphila-umbellata-mother-tincture-q-otc338502
Dr. Reckeweg Conium Mac Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹162,https://www.1mg.com/otc/dr.-reckeweg-conium-mac-dilution-200-ch-otc336003
Dr. Reckeweg Lycopodium Dilution 1000 CH,bottle of 11 ml Dilution,₹210,₹203,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-1000-ch-otc336002
Dr. Reckeweg Sepia Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-sepia-dilution-200-ch-otc335999
SBL Glowing Beauty Fairness Cream,tube of 50 gm Cream,₹100,₹97,https://www.1mg.com/otc/sbl-glowing-beauty-fairness-cream-otc397975
Dr Willmar Schwabe India Calendula Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-calendula-officinalis-mother-tincture-q-otc390831
Bakson's Homeopathy Acne Aid Tablet,bottle of 75 tablets,₹215,₹178,https://www.1mg.com/otc/bakson-s-homeopathy-acne-aid-tablet-otc659535
Dr. Reckeweg Carica Papaya Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹339,https://www.1mg.com/otc/dr.-reckeweg-carica-papaya-mother-tincture-q-otc327455
Boericke and Tafel Glow & Fairness Soap,packet of 75 gm Soap,₹50,₹48,https://www.1mg.com/otc/boericke-and-tafel-glow-fairness-soap-otc498711
REPL Dr. Advice No.49 Gray Hair Drop,bottle of 30 ml Drop,₹180,₹165,https://www.1mg.com/otc/repl-dr.-advice-no.49-gray-hair-drop-otc339384
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Allen A69 Anal Fissures Drop,bottle of 30 ml Drop,₹170,₹164,https://www.1mg.com/otc/allen-a69-anal-fissures-drop-otc330466
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Bakson B2 Stomach Drop,bottle of 30 ml Drop,₹185,₹131,https://www.1mg.com/otc/bakson-b2-stomach-drop-otc387991
Dr. Reckeweg Acid Phosph Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹240,https://www.1mg.com/otc/dr.-reckeweg-acid-phosph-mother-tincture-q-otc327818
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Bakson's Homeopathy Alfalfa Tonic with Ginseng,bottle of 450 ml Tonic,₹305,₹232,https://www.1mg.com/otc/bakson-s-homeopathy-alfalfa-tonic-with-ginseng-otc502632
Dr. Reckeweg R34 Recalcifying Drop,bottle of 22 ml Drop,₹285,₹270,https://www.1mg.com/otc/dr.-reckeweg-r34-recalcifying-drop-otc327461
SBL Wipe Clear Acne Lotion,bottle of 30 ml Lotion,₹95,₹85,https://www.1mg.com/otc/sbl-wipe-clear-acne-lotion-otc339920
Dr. Reckeweg Crataegus Mother Tincture Q,bottle of 100 ml Mother Tincture,₹910,₹900,https://www.1mg.com/otc/dr.-reckeweg-crataegus-mother-tincture-q-otc573747
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Sabadilla Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-sabadilla-dilution-30-ch-otc348622
Dr. Reckeweg Causticum Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-causticum-dilution-30-ch-otc326847
SBL Magnesia Phosphorica Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,₹110,₹104,https://www.1mg.com/otc/sbl-magnesia-phosphorica-biochemic-tablet-12x-otc331032
Dr. Reckeweg Nuphar Luteum Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹335,https://www.1mg.com/otc/dr.-reckeweg-nuphar-luteum-mother-tincture-q-otc327556
Dr. Reckeweg R41 Sexual Neurasthenia Drop (22ml Each),combo pack of 2 boxes,₹540,₹475,https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-22ml-each-otc870815
Bakson's Homeopathy Chrysarobinum Ointment,tube of 25 gm Ointment,₹75,₹72,https://www.1mg.com/otc/bakson-s-homeopathy-chrysarobinum-ointment-otc326024
Hapdco Aqui Plus Face Wash,tube of 65 ml Face Wash,₹99,₹91.1,https://www.1mg.com/otc/hapdco-aqui-plus-face-wash-otc726376
Dr Willmar Schwabe India Alpha - WD Drop,bottle of 30 ml Drop,₹125,₹115,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-wd-drop-otc327174
SBL Hekla Lava Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹156,https://www.1mg.com/otc/sbl-hekla-lava-trituration-tablet-3x-otc338992
SBL Baryta Carbonicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-baryta-carbonicum-dilution-30-ch-otc346001
SBL Robinia Pseudacacia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹118,https://www.1mg.com/otc/sbl-robinia-pseudacacia-mother-tincture-q-otc338424
Haslab Baby Tone-Up Tonic,bottle of 100 ml Tonic,₹85,₹71,https://www.1mg.com/otc/haslab-baby-tone-up-tonic-otc339500
Dr Willmar Schwabe India Caladium Seguinum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹98,https://www.1mg.com/otc/dr-willmar-schwabe-india-caladium-seguinum-dilution-30-ch-otc398201
SBL Ignatia Amara Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-ignatia-amara-dilution-30-ch-otc347955
SBL Alumina Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-alumina-dilution-30-ch-otc338384
SBL Paeonia Officianalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹310,https://www.1mg.com/otc/sbl-paeonia-officianalis-mother-tincture-q-otc349003
Dr. Reckeweg Bio-Combination 7 (BC 7) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹190,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-7-bc-7-tablet-otc326280
Wheezal WL36 Sciatica & Slip Disc Drop,bottle of 30 ml Drop,₹175,₹161,https://www.1mg.com/otc/wheezal-wl36-sciatica-slip-disc-drop-otc387916
Dr Boricke Damiatone Oral Drops,bottle of 30 ml Oral Drops,₹360,₹331,https://www.1mg.com/otc/dr-boricke-damiatone-oral-drops-otc850187
Dr. Reckeweg Bio-Combination 11 (BC 11) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹174,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-11-bc-11-tablet-otc326276
Medisynth Nasaltone Oral Drop,bottle of 30 ml Drop,₹175,₹154,https://www.1mg.com/otc/medisynth-nasaltone-oral-drop-otc339316
Rxhomeo Baryta Carb 30C,bottle of 250 pellets,₹150,₹78,https://www.1mg.com/otc/rxhomeo-baryta-carb-30c-otc858326
Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,bottle of 200 ml Tonic,₹195,₹171,https://www.1mg.com/otc/dr-willmar-schwabe-india-dizester-digestive-tonic-sugar-free-otc602818
Allen A53 Alopecia Drop,bottle of 30 ml Drop,₹170,₹146,https://www.1mg.com/otc/allen-a53-alopecia-drop-otc330332
SBL Argentum Nitricum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-argentum-nitricum-dilution-200-ch-otc345910
SBL Ledum Palustre Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-ledum-palustre-dilution-30-ch-otc338317
SBL Influenzinum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-influenzinum-dilution-200-ch-otc347960
SBL Ledum Palustre Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-ledum-palustre-dilution-200-ch-otc348162
Dr. Reckeweg Gymnema Syl Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹240,https://www.1mg.com/otc/dr.-reckeweg-gymnema-syl-mother-tincture-q-otc327736
SBL Nixocid Tablet,bottle of 450 gm Tablet,₹910,₹684,https://www.1mg.com/otc/sbl-nixocid-tablet-otc812927
Dr. Reckeweg R31 Increases Appetite And Blood Supply Drop,bottle of 22 ml Drop,₹285,₹237,https://www.1mg.com/otc/dr.-reckeweg-r31-increases-appetite-and-blood-supply-drop-otc326055
Dr Willmar Schwabe India Topi Aesculus Cream,tube of 25 gm Cream,₹80,₹73,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-aesculus-cream-otc499173
SBL  Bacopa Munnieri Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-bacopa-munnieri-mother-tincture-q-otc338513
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Dr. Reckeweg Selenium Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹255,₹230,https://www.1mg.com/otc/dr.-reckeweg-selenium-trituration-tablet-3x-otc326930
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Adven Adzag-Forte Drop (25ml Each),box of 2 bottles,₹555,₹434,https://www.1mg.com/otc/adven-adzag-forte-drop-25ml-each-otc675994
SBL Babchi Oil,bottle of 60 ml Oil,₹145,₹129,https://www.1mg.com/otc/sbl-babchi-oil-otc368022
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Hypericum Perforatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-hypericum-perforatum-dilution-30-ch-otc338320
SBL Clematis Erecta Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-clematis-erecta-dilution-30-ch-otc346187
SBL Psoralea Corylifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹99.2,https://www.1mg.com/otc/sbl-psoralea-corylifolia-mother-tincture-q-otc338427
Dr Willmar Schwabe India Good Morning Constipation Drop,bottle of 30 ml Drop,₹130,₹118,https://www.1mg.com/otc/dr-willmar-schwabe-india-good-morning-constipation-drop-otc784635
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Dr. Reckeweg Thuja Occ Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹138,https://www.1mg.com/otc/dr.-reckeweg-thuja-occ-dilution-30-ch-otc326369
SBL Kali Bromatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹93,https://www.1mg.com/otc/sbl-kali-bromatum-dilution-30-ch-otc348034
SBL Nux Vomica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-nux-vomica-mother-tincture-q-otc338438
Dr Willmar Schwabe India Cholesterinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹150,₹134,https://www.1mg.com/otc/dr-willmar-schwabe-india-cholesterinum-trituration-tablet-3x-otc400807
New Life Bach Flower Mimulus 30,bottle of 30 ml Dilution,₹125,₹116,https://www.1mg.com/otc/new-life-bach-flower-mimulus-30-otc386650
Dr Willmar Schwabe India Aconitum Napellus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-aconitum-napellus-dilution-30-ch-otc391760
Bhargava Gas Off Tablet,strip of 10 tablets,₹40,₹35,https://www.1mg.com/otc/bhargava-gas-off-tablet-otc563427
Dr Willmar Schwabe India Bryonia Alba Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/dr-willmar-schwabe-india-bryonia-alba-dilution-200-ch-otc398019
Wheezal Hymusa Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/wheezal-hymusa-syrup-otc624057
SBL Ammi Visnaga Cream,tube of 25 gm Cream,₹75,₹66,https://www.1mg.com/otc/sbl-ammi-visnaga-cream-otc330976
SBL Calcarea Sulphurica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹104,https://www.1mg.com/otc/sbl-calcarea-sulphurica-biochemic-tablet-6x-otc331083
Allen Varicose Vein Massage Oil,bottle of 100 ml Oil,₹200,₹179,https://www.1mg.com/otc/allen-varicose-vein-massage-oil-otc756783
Wheezal Renal Forte Drop,bottle of 30 ml Drop,₹150,₹132,https://www.1mg.com/otc/wheezal-renal-forte-drop-otc339234
Dr. Reckeweg Caladium Seg Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-200-ch-otc335830
SBL Hamamelis Virginica Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-hamamelis-virginica-dilution-30-ch-otc347834
LDD Bioscience Yelo-Lax Tablet,bottle of 50 tablets,₹130,₹126,https://www.1mg.com/otc/ldd-bioscience-yelo-lax-tablet-otc604958
SBL Ammonium Carbonicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹86,https://www.1mg.com/otc/sbl-ammonium-carbonicum-dilution-30-ch-otc345780
SBL Baryta Carbonicum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹111,https://www.1mg.com/otc/sbl-baryta-carbonicum-dilution-200-ch-otc346002
SBL Osteo Arthritic Nosode Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-osteo-arthritic-nosode-dilution-200-ch-otc348922
Allen's Triofer Homoeo Hair & Care Tablet,box of 50 tablets,₹150,₹145,https://www.1mg.com/otc/allen-s-triofer-homoeo-hair-care-tablet-otc392985
ADEL Alfalfa Tonic with Ginseng,bottle of 500 ml Tonic,₹1250,₹973,https://www.1mg.com/otc/adel-alfalfa-tonic-with-ginseng-otc724466
Wheezal Calendula Dressing Powder,bottle of 100 gm Powder,₹130,₹118,https://www.1mg.com/otc/wheezal-calendula-dressing-powder-otc339209
Allen Dewarts Cream,tube of 25 gm Cream,₹100,₹97,https://www.1mg.com/otc/allen-dewarts-cream-otc330457
SBL Bio-Combination 12 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹99,https://www.1mg.com/otc/sbl-bio-combination-12-tablet-otc331052
Dr Willmar Schwabe India Kali Bichromicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,https://www.1mg.com/otc/dr-willmar-schwabe-india-kali-bichromicum-dilution-30-ch-otc404407
Dr. Reckeweg Diabetic Care Combo (R40 + Syzygium Jamb Mother Tincture),packet of 1 Kit,₹540,₹532,https://www.1mg.com/otc/dr.-reckeweg-diabetic-care-combo-r40-syzygium-jamb-mother-tincture-otc371840
SBL Insulinum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-insulinum-dilution-30-ch-otc348861
Haslab -Scm Cineraria Maritima Eye Drop,bottle of 10 ml Eye Drop,₹144,₹141,https://www.1mg.com/otc/haslab-scm-cineraria-maritima-eye-drop-otc339479
Dr Willmar Schwabe India Carbo Vegetabilis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-carbo-vegetabilis-dilution-30-ch-otc398635
Dr. Reckeweg Cantharis Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹135,https://www.1mg.com/otc/dr.-reckeweg-cantharis-dilution-30-ch-otc326862
Wheezal Memorine Drop,bottle of 30 ml Drop,₹150,₹127,https://www.1mg.com/otc/wheezal-memorine-drop-otc339232
Bakson's Homeopathy Cineraria Maritima Eye Drop,bottle of 10 ml Eye Drop,₹130,₹128,https://www.1mg.com/otc/bakson-s-homeopathy-cineraria-maritima-eye-drop-otc327278
Dr. Johns Bozom Plus Lotion,bottle of 30 ml Lotion,₹140,₹126,https://www.1mg.com/otc/dr.-johns-bozom-plus-lotion-otc390165
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Dr. Reckeweg Hamamelis Virg Mother Tincture Q,bottle of 20 ml Mother Tincture,₹315,₹308,https://www.1mg.com/otc/dr.-reckeweg-hamamelis-virg-mother-tincture-q-otc327735
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Symphytum Officinale Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-symphytum-officinale-dilution-30-ch-otc348813
SBL Syzygium Jambolanum Trituration Tablet 1X,bottle of 25 gm Trituration Tablet,₹165,₹142,https://www.1mg.com/otc/sbl-syzygium-jambolanum-trituration-tablet-1x-otc330981
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Berberis Aquifolium Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹92,https://www.1mg.com/otc/sbl-berberis-aquifolium-dilution-30-ch-otc346014
SBL Titanium Metallicum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹147,https://www.1mg.com/otc/sbl-titanium-metallicum-trituration-tablet-3x-otc338958
SBL Alumina Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹102,https://www.1mg.com/otc/sbl-alumina-dilution-200-ch-otc345765
Dr. Reckeweg Rhus Tox Dilution 1000 CH,bottle of 11 ml Dilution,₹210,₹201,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-1000-ch-otc331704
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
ADEL Acid Phos Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹238,https://www.1mg.com/otc/adel-acid-phos-mother-tincture-q-otc327070
Allen Varicose Vein Drop,bottle of 30 ml Drop,₹170,₹155,https://www.1mg.com/otc/allen-varicose-vein-drop-otc756779
Dr. Reckeweg Sepia Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-sepia-dilution-30-ch-otc327870
Bakson's Homeopathy Ferrum Phosphoricum Biochemic Tablet 6X,bottle of 250 biochemic tablets,₹105,₹85,https://www.1mg.com/otc/bakson-s-homeopathy-ferrum-phosphoricum-biochemic-tablet-6x-otc695144
Dr. Reckeweg Aesculus Hippocastanum Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹138,https://www.1mg.com/otc/dr.-reckeweg-aesculus-hippocastanum-dilution-30-ch-otc326923
St. George’s Merry Gold Green Soap,packet of 75 gm Soap,₹65,₹61.8,https://www.1mg.com/otc/st.-george-s-merry-gold-green-soap-otc498750
SBL Ratanhia Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,https://www.1mg.com/otc/sbl-ratanhia-dilution-200-ch-otc348589
Allen A44 Hyper Acidity & Ulcer Drop,bottle of 30 ml Drop,₹170,₹164,https://www.1mg.com/otc/allen-a44-hyper-acidity-ulcer-drop-otc330269
SBL Chelidonium Majus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-chelidonium-majus-dilution-30-ch-otc338351
SBL Kali Sulphurica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹97,https://www.1mg.com/otc/sbl-kali-sulphurica-biochemic-tablet-6x-otc331036
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,bottle of 100 ml Liquid,₹130,₹116,https://www.1mg.com/otc/wheezal-arnica-hair-n-scalp-treatment-homeopathic-medicine-otc339197
SBL Physostigma Venenosum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-physostigma-venenosum-dilution-30-ch-otc348512
Lord's Sleepin Drop,bottle of 30 ml Drop,₹160,₹150,https://www.1mg.com/otc/lord-s-sleepin-drop-otc392870
Bjain Cephalandra Indica Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹175,https://www.1mg.com/otc/bjain-cephalandra-indica-mother-tincture-q-otc445338
SBL Dulcamara Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/sbl-dulcamara-dilution-200-ch-otc346533
Dr. Reckeweg Aesculus Hippocastanum Dilution 200,bottle of 11 ml Dilution,₹170,₹166,https://www.1mg.com/otc/dr.-reckeweg-aesculus-hippocastanum-dilution-200-otc335991
Wheezal Petrolatum-W Pure Petroleum Jelly,jar of 100 gm Jelly,₹190,₹184,https://www.1mg.com/otc/wheezal-petrolatum-w-pure-petroleum-jelly-otc339203
Dr. Reckeweg Hypericum Per Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹166,https://www.1mg.com/otc/dr.-reckeweg-hypericum-per-dilution-200-ch-otc335080
